sno,stars,watchers,forks
0,94,94,36874
1,39982,134774,21566
2,39790,134475,22959
3,39730,108200,11497
4,39921,201866,23148
5,39902,202575,28868
6,742,742,140926
7,39987,84390,10045
8,39965,67400,6266
9,24636,27873,13946
10,39977,62337,6138
11,33459,33463,25886
12,39985,72930,7542
13,39202,65385,32729
14,39994,60371,6682
15,39860,42896,23790
16,12813,12814,27284
17,39936,58315,17648
18,2358,2358,90203
19,39987,65740,9066
20,23970,23982,46166
21,23006,23008,20295
22,39980,191752,39581
23,39901,100432,10511
24,39979,54740,16320
25,22284,22288,17689
26,39940,64464,17318
27,39984,75896,23574
28,39987,82573,10756
29,39982,63582,18196
30,38533,70381,22800
31,15434,15436,17238
32,39644,103892,22273
33,6126,6126,241436
34,39991,62307,36800
35,7790,7791,34118
36,39563,48530,34241
37,38310,60149,9679
38,11022,81166,35016
39,39899,60017,5327
40,295,295,19906
41,39508,53169,6777
42,39952,156279,30758
43,39388,111751,7966
44,39927,120249,16128
45,39920,72406,3237
46,39929,46338,24063
47,39942,125026,42008
48,25687,25688,16563
49,39951,42081,15172
50,10375,11137,127893
51,39989,65065,2849
52,35883,136028,76268
53,39177,53882,22156
54,39898,242329,49909
55,39947,57739,12217
56,1091,1091,16153
57,16736,158624,76973
58,39924,75245,4274
59,36471,60679,16240
60,36156,65227,27469
61,39781,79078,8499
62,39954,59812,25166
63,39722,120882,46015
64,34931,101999,23150
65,103,103,20735
66,39729,226462,60978
67,39916,349771,29035
68,39975,79980,27571
69,39901,154571,48512
70,39978,96064,6114
71,1036,1036,36439
72,38635,59414,28303
73,39985,55714,19148
74,39984,54098,18919
75,39962,101882,15145
76,39916,142816,22761
77,39838,56509,17390
78,10710,10711,24531
79,11319,11320,16085
80,39892,70947,13618
81,39958,211007,23852
82,39671,84169,4534
83,28854,28906,18633
84,32758,32759,19006
85,1856,1856,65496
86,10658,10660,55916
87,39949,88958,23853
88,32847,33210,19300
89,39942,96103,24947
90,197,197,31867
91,39976,77406,28173
92,31800,69726,12103
93,39974,73156,10757
94,22230,22660,3690
95,36042,53125,12067
96,39723,146347,24273
97,37541,37642,25176
98,73,73,20717
99,39993,41220,17707
100,39983,94710,9674
101,5952,5952,21058
102,39950,79332,8203
103,39716,62803,52106
104,37668,147841,24280
105,38417,59943,15161
106,39982,53259,10367
107,39970,67964,7296
108,5091,5091,20392
109,39929,89984,19376
110,39937,74831,10115
111,39980,57556,11538
112,39986,82794,21864
113,39818,140515,36272
114,38648,124955,23970
115,39976,94450,26397
116,39987,90410,33143
117,34282,34302,21565
118,39179,69103,9506
119,39736,108400,21323
120,9894,9894,19908
121,39431,55994,10883
122,8935,8936,16591
123,13336,13477,16969
124,60,60,15971
125,37228,83777,32402
126,39733,189922,34388
127,39752,166537,86979
128,20985,20989,71647
129,37177,75166,16203
130,3909,3909,31485
131,39569,40011,27615
132,39964,61435,8433
133,38403,56496,20418
134,39936,69921,9417
135,1730,1952,17648
136,38289,57713,9786
137,39642,50791,23253
138,39981,198012,32528
139,36109,135095,43829
140,26235,263274,21540
141,39975,102664,13693
142,39951,74061,45956
143,39873,60773,5879
144,38820,60454,21992
145,39986,58381,15234
146,343,343,18220
147,221,221,56386
148,39899,48520,15171
149,39977,40283,20470
150,39610,157291,14777
